ID,TYPE,Publication,Latitude,Longitude,Species_numbers,Rows,Columns,Publicaiton_Year
M_PL_061_26,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,20,7,13,2014
M_PL_061_27,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,19,6,13,2014
M_PL_061_28,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,27,8,19,2014
M_PL_061_29,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,26,8,18,2014
M_PL_061_30,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,20,7,13,2014
M_PL_061_31,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,24,5,19,2014
M_PL_061_32,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,22,5,17,2014
M_PL_061_35,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,16,6,10,2014
M_PL_061_36,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,24,7,17,2014
M_PL_061_37,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,30,11,19,2014
M_PL_061_38,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,33,10,23,2014
M_PL_061_39,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,30,7,23,2014
M_PL_061_40,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,33,8,25,2014
M_PL_061_43,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,23,8,15,2014
M_PL_061_44,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,19,9,10,2014
M_PL_061_45,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,34,11,23,2014
M_PL_061_46,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,34,13,21,2014
M_PL_061_47,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,33,8,25,2014
M_PL_061_48,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,23,9,14,2014
M_PL_063,Pollination,One network per publication,-23.341667,-45.116667,64,55,9,2016
M_PL_064,Pollination,One network per publication,-20.75,-42.92,22,14,8,2004
M_PL_065,Pollination,One network per publication,19.5,-105.05,26,21,5,1990
M_PL_067,Pollination,One network per publication,-7.87,-36.4,36,31,5,2012
M_PL_068,Pollination,One network per publication,1.25,-77.43,40,31,9,2001
M_PL_069_01,Pollination,One network per publication,-27.27,-49.01,24,18,6,2011
M_PL_070,Pollination,One network per publication,19.23,-98.97,16,8,8,2006
M_PL_071,Pollination,One network per publication,0.04,-72.27,52,44,8,2004
M_PL_073,Pollination,One network per publication,38.9695547,-77.1763687,73,30,42,2021
M_PL_074_01,Pollination,One network per publication,-0.0238471,-78.7729935,84,65,19,2001
M_PL_074_02,Pollination,Graham and Weinstein (2018),0.12,-78.6,69,49,20,2018
M_PL_074_03,Pollination,Dalsgaard et al. (2021),4.67,-75.57,61,46,15,2021
M_PL_074_04,Pollination,One network per publication,10.67,-61.28,66,57,9,1972
M_PL_074_05,Pollination,Graham and Weinstein (2018),0.12,-78.63,43,29,14,2018
M_PL_074_06,Pollination,One network per publication,-3.82,-70.27,44,29,15,1998
M_PL_074_07,Pollination,One network per publication,-23.58,-45.33,51,40,11,2000
M_PL_074_08,Pollination,Dalsgaard et al. (2021),-23.35,-44.83,54,42,12,2021
M_PL_074_09,Pollination,Dalsgaard et al. (2021),-18.2,-43.57,59,50,9,2021
M_PL_074_10,Pollination,Dalsgaard et al. (2021),-24.18,-47.93,47,35,12,2021
M_PL_074_11,Pollination,Dalsgaard et al. (2021),-21.62,-47.81,39,23,16,2021
M_PL_074_12,Pollination,One network per publication,-9.71,-76.16,38,26,12,2016
M_PL_074_13,Pollination,Maruyama et al. (2015),-23.36,-44.85,39,28,11,2015
M_PL_074_14,Pollination,Partida-Lara et al. (2018),15.63,-92.81,37,27,10,2018
M_PL_074_15,Pollination,Partida-Lara et al. (2018),15.66,-92.81,34,25,9,2018
M_PL_074_16,Pollination,Dalsgaard et al. (2021),4.5,-75.6,36,23,13,2021
M_PL_074_17,Pollination,One network per publication,-19.25,-43.52,55,49,6,2014
M_PL_074_18,Pollination,Maruyama et al. (2015),-23.32,-44.94,35,22,13,2015
M_SD_001,Seed Dispersal,One network per publication,40.331926,-74.666728,28,7,21,1980
M_SD_002,Seed Dispersal,One network per publication,-7.266667,146.7,40,31,9,1983
M_SD_003,Seed Dispersal,Carlo et al. (2003),18.296944,-66.781944,41,25,16,2003
M_SD_004,Seed Dispersal,Carlo et al. (2003),18.258333,-66.535556,52,33,19,2003
M_SD_005,Seed Dispersal,Carlo et al. (2003),18.1725,-66.591944,34,22,12,2003
M_SD_006,Seed Dispersal,Carlo et al. (2003),18.308333,-66.558611,34,20,14,2003
M_SD_008,Seed Dispersal,One network per publication,-28.95,31.75,26,16,10,1980
M_SD_009,Seed Dispersal,Galetti and Pizo (1996),-22.816667,-47.1,25,7,18,1996
M_SD_010_single_partners_added,Seed Dispersal,One network per publication,10.716667,-61.3,79,65,14,1971
