"species","networks"
"Diospyros mespiliformis","Engel_2000; Hovestadt_1997"
"Diospyros morrisiana","Chen_1999; Noma_1997"
"Diospyros racemosa","Jayasekara_2003; Jayasekara_2007"
"Diospyros sandwicensis","Chimera_2010"
"Diospyros squarrosa","Engel_2000"
"Diospyros vera","David_2011_tree_focal_watches; Hovestadt_1997"
"Diplospora dubia","Chen_1999"
"Dipterocarpus gracilis","Suzuki_2007"
"Disterigma alaternoides","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_4"
"Disterigma ovatum","Dehling_2017_Wayqecha_3"
"Doliocarpus dentatus","Blake_1992; M_SD_010_single_partners_added"
"Doliocarpus schottianus","Machado_de_Souza_2019"
"Dovyalis longispina","M_SD_008"
"Dracaena fragrans","M_SD_034"
"Dracaena mannii","Engel_2000"
"Dracaena rockii","Chimera_2010"
"Drymonia pilifera","Blake_1992"
"Drypetes natalensis","Engel_2000"
"Duchesnea indica","M_SD_031"
"Durio ceylanicus","Jayasekara_2003; Jayasekara_2007"
"Dysoxylum cyrtobotryum","Suzuki_2007"
"Dysoxylum gotadhora","Jayasekara_2003; Jayasekara_2007; Sethi_2012"
"Dyssochroma viridiflora","Mello_2014_Mata_de_Grota"
"Echinochloa crus-galli","Jaroszewicz_2013"
"Ehretia laevis","David_2011_tree_focal_watches"
"Ehretia tinifolia","Ramos_Robles_2016_net6; Ramos_Robles_2016_net7; Ramos_Robles_2016_net8"
"Ekebergia capensis","M_SD_008"
"Elaeagia mariae","Dehling_2017_San_Pedro_2"
"Elaeagnus conferta","Suzuki_2007"
"Elaeis guineensis","Engel_2000"
"Elaeocarpus dentatus","Burns_2013; Garcia_2014_Blue_Duck"
"Elaeocarpus hookerianus","Odonnell_1994; Wyman_2017"
"Elaeocarpus japonicus","Noma_1997"
"Elaeocarpus sylvestris","Noma_1997"
"Elaeocarpus tectorius","Suzuki_2007"
"Ellipanthus hemandradenioides","Engel_2000"
"Emex australis","Castley_2001"
"Epilobium ciliatum","Jaroszewicz_2013"
"Epilobium hirsutum","Jaroszewicz_2013"
"Epilobium montanum","Jaroszewicz_2013"
"Epilobium obscurum","Jaroszewicz_2013"
"Epilobium palustre","Jaroszewicz_2013"
"Epilobium parviflorum","Jaroszewicz_2013; M_SD_031"
"Epilobium roseum","Jaroszewicz_2013"
"Epiphyllum hookeri","M_SD_010_single_partners_added"
"Epiphyllum phyllanthus","Arias_Arone_2016"
"Erianthemum dregei","M_SD_008"
"Erigeron annuus","Jaroszewicz_2013"
"Erigeron canadensis","Jaroszewicz_2013"
"Eriobotrya japonica","Engel_2000; Garcia_Estrada_2012; Hayashi_1996"
"Eriochloa pacifica","Nogales_2017"
"Eriosema glomeratum","Engel_2000"
"Erythrophleum suaveolens","Engel_2000"
"Escallonia paniculata","Quitian_2018_2000Natural"
"Euclea natalensis","Engel_2000; M_SD_008"
"Euclea racemosa","Castley_2001"
"Eugenia baileyi","M_SD_010_single_partners_added"
"Eugenia calycina","Malacco_da_Silva_2014"
"Eugenia capensis","Castley_2001"
"Eugenia cuprea","Castro_2015"
"Eugenia cyclophylla","Andrade_2011"
"Eugenia hyemalis","Lessa_2013"
"Eugenia punicifolia","Malacco_da_Silva_2014; Marcos_da_Silva_2013"
"Eugenia roxburghii","David_2011_tree_focal_watches"
"Eugenia sulcata","Machado_de_Souza_2019"
"Eugenia umbelliflora","Castro_2015"
"Eugenia uniflora","Athie_2009; Robinson_2015"
