species,networks,Taxonomy,Notes
Hemipyrellia sp1 M_PL_131,M_PL_061_48,Genus,
Heteroptera sp23 M_PL_013,M_PL_013,Suborder,
Heteroptera sp45 M_PL_051,M_PL_051,Suborder,
Heterosarus sp1 M_PL_051,M_PL_051,Genus,
Homoneura sp1 M_PL_055,M_PL_055,Genus,
Homoneura sp1 M_PL_061,M_PL_060_02,Genus,
Homoneura sp1 M_PL_062,M_PL_060_03,Genus,
Homoneura sp1 M_PL_063,M_PL_060_04,Genus,
Homoneura sp1 M_PL_064,M_PL_060_05,Genus,
Homoneura sp1 M_PL_072,M_PL_060_13,Genus,
Homoneura sp2 M_PL_055,M_PL_055,Genus,
Homoneura sp2 M_PL_072,M_PL_060_13,Genus,
Hyadina sp1 M_PL_062,M_PL_060_03,Genus,
